# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	13998	14525	+	WP_031551079.1	WP_031551079.1		serine O-acetyltransferase	cysE		HF965_RS00070	528	175	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	14660	15355	+							HF965_RS00075	696		old_locus_tag=HF965_00075
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	14660	15355	+	WP_210727740.1	WP_210727740.1		HAD family hydrolase			HF965_RS00075	696	231	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	15583	16317	+							HF965_RS00080	735		old_locus_tag=HF965_00080
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	15583	16317	+	WP_031551074.1	WP_031551074.1		rhodanese-like domain-containing protein			HF965_RS00080	735	244	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	16457	17203	+							HF965_RS00085	747		old_locus_tag=HF965_00085
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	16457	17203	+	WP_031551071.1	WP_031551071.1		rhodanese-like domain-containing protein			HF965_RS00085	747	248	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	17395	18888	+							HF965_RS00090	1494		old_locus_tag=HF965_00090
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	17395	18888	+	WP_031551068.1	WP_031551068.1		TIGR04282 family arsenosugar biosynthesis glycosyltransferase			HF965_RS00090	1494	497	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	18907	19485	+							HF965_RS00095	579		old_locus_tag=HF965_00095
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	18907	19485	+	WP_031551065.1	WP_031551065.1		TVP38/TMEM64 family protein			HF965_RS00095	579	192	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	19506	20192	-							HF965_RS00100	687		old_locus_tag=HF965_00100
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	19506	20192	-	WP_031551063.1	WP_031551063.1		hypothetical protein			HF965_RS00100	687	228	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	20198	20650	-							HF965_RS00105	453		old_locus_tag=HF965_00105
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	20198	20650	-	WP_006363777.1	WP_006363777.1		LytTR family transcriptional regulator			HF965_RS00105	453	150	
gene	tRNA	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	20820	20916	+							HF965_RS00110	97		old_locus_tag=HF965_00110
tRNA		GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	20820	20916	+				tRNA-Sec			HF965_RS00110	97		anticodon=TCA
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	21023	21886	-					tehB		HF965_RS00115	864		old_locus_tag=HF965_00115
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	21023	21886	-	WP_031551060.1	WP_031551060.1		SAM-dependent methyltransferase TehB	tehB		HF965_RS00115	864	287	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	21992	22840	-							HF965_RS00120	849		old_locus_tag=HF965_00120
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	21992	22840	-	WP_031551057.1	WP_031551057.1		DUF1971 domain-containing protein			HF965_RS00120	849	282	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	23031	23489	+							HF965_RS00125	459		old_locus_tag=HF965_00125
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	23031	23489	+	WP_031551054.1	WP_031551054.1		low molecular weight phosphotyrosine protein phosphatase			HF965_RS00125	459	152	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	23517	24023	+							HF965_RS00130	507		old_locus_tag=HF965_00130
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	23517	24023	+	WP_031551051.1	WP_031551051.1		GNAT family N-acetyltransferase			HF965_RS00130	507	168	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	24088	24816	+							HF965_RS00135	729		old_locus_tag=HF965_00135
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	24088	24816	+	WP_031551047.1	WP_031551047.1		serine/threonine protein phosphatase			HF965_RS00135	729	242	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	24829	25173	+							HF965_RS00140	345		old_locus_tag=HF965_00140
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	24829	25173	+	WP_031551045.1	WP_031551045.1		DUF6176 family protein			HF965_RS00140	345	114	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	25824	27719	+							HF965_RS00145	1896		old_locus_tag=HF965_00145
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	25824	27719	+	WP_051618955.1	WP_051618955.1		CAP domain-containing protein			HF965_RS00145	1896	631	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	27942	28889	+					selD		HF965_RS00150	948		old_locus_tag=HF965_00150
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	27942	28889	+	WP_031551042.1	WP_031551042.1		selenide, water dikinase SelD	selD		HF965_RS00150	948	315	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	28931	29731	+					yedF		HF965_RS00155	801		old_locus_tag=HF965_00155
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	28931	29731	+	WP_031551039.1	WP_031551039.1		sulfurtransferase-like selenium metabolism protein YedF	yedF		HF965_RS00155	801	266	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	29740	30015	+							HF965_RS00160	276		old_locus_tag=HF965_00160
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	29740	30015	+	WP_006363767.1	WP_006363767.1		DUF3343 domain-containing protein			HF965_RS00160	276	91	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	30101	31987	+					selB		HF965_RS00165	1887		old_locus_tag=HF965_00165
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	30101	31987	+	WP_031551034.1	WP_031551034.1		selenocysteine-specific translation elongation factor	selB		HF965_RS00165	1887	628	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	32034	33185	+							HF965_RS00170	1152		old_locus_tag=HF965_00170
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	32034	33185	+	WP_031551031.1	WP_031551031.1		aminotransferase class V-fold PLP-dependent enzyme			HF965_RS00170	1152	383	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	33196	34578	+					selA		HF965_RS00175	1383		old_locus_tag=HF965_00175
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	33196	34578	+	WP_031551028.1	WP_031551028.1		L-seryl-tRNA(Sec) selenium transferase	selA		HF965_RS00175	1383	460	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	34597	35031	+							HF965_RS00180	435		old_locus_tag=HF965_00180
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	34597	35031	+	WP_031551026.1	WP_031551026.1		GNAT family N-acetyltransferase			HF965_RS00180	435	144	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	35214	36053	+							HF965_RS00185	840		old_locus_tag=HF965_00185
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	35214	36053	+	WP_031551023.1	WP_031551023.1		DNA adenine methylase			HF965_RS00185	840	279	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	36063	36818	+							HF965_RS00190	756		old_locus_tag=HF965_00190
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	36063	36818	+	WP_031551020.1	WP_031551020.1		site-specific DNA-methyltransferase			HF965_RS00190	756	251	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	36845	38779	+							HF965_RS00195	1935		old_locus_tag=HF965_00195
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	36845	38779	+	WP_031551018.1	WP_031551018.1		hypothetical protein			HF965_RS00195	1935	644	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	38793	39698	+							HF965_RS00200	906		old_locus_tag=HF965_00200
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	38793	39698	+	WP_031551015.1	WP_031551015.1		type II restriction endonuclease			HF965_RS00200	906	301	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	39707	40609	+							HF965_RS00205	903		old_locus_tag=HF965_00205
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	39707	40609	+	WP_031551012.1	WP_031551012.1		class I SAM-dependent methyltransferase			HF965_RS00205	903	300	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	40888	41061	+					rpsU		HF965_RS00210	174		old_locus_tag=HF965_00210
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	40888	41061	+	WP_031551009.1	WP_031551009.1		30S ribosomal protein S21	rpsU		HF965_RS00210	174	57	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	41228	41380	+							HF965_RS00215	153		old_locus_tag=HF965_00215
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	41228	41380	+	WP_031551006.1	WP_031551006.1		hypothetical protein			HF965_RS00215	153	50	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	41428	42381	-					fni		HF965_RS00220	954		old_locus_tag=HF965_00220
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	41428	42381	-	WP_031551003.1	WP_031551003.1		type 2 isopentenyl-diphosphate Delta-isomerase	fni		HF965_RS00220	954	317	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	42406	43395	-							HF965_RS00225	990		old_locus_tag=HF965_00225
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	42406	43395	-	WP_031551000.1	WP_031551000.1		phosphomevalonate kinase			HF965_RS00225	990	329	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	43362	44273	-					mvaD		HF965_RS00230	912		old_locus_tag=HF965_00230
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	43362	44273	-	WP_031550998.1	WP_031550998.1		diphosphomevalonate decarboxylase	mvaD		HF965_RS00230	912	303	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	44255	45067	-					mvk		HF965_RS00235	813		old_locus_tag=HF965_00235
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	44255	45067	-	WP_031550996.1	WP_031550996.1		mevalonate kinase	mvk		HF965_RS00235	813	270	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	45292	46185	-							HF965_RS00240	894		old_locus_tag=HF965_00240
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	45292	46185	-	WP_031550992.1	WP_031550992.1		cation diffusion facilitator family transporter			HF965_RS00240	894	297	
gene	tRNA	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	46336	46419	-							HF965_RS00245	84		old_locus_tag=HF965_00245
tRNA		GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	46336	46419	-				tRNA-Leu			HF965_RS00245	84		anticodon=CAA
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	46755	47156	+					spxA		HF965_RS00250	402		old_locus_tag=HF965_00250
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	46755	47156	+	WP_210727741.1	WP_210727741.1		transcriptional regulator SpxA	spxA		HF965_RS00250	402	133	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	47270	48145	+							HF965_RS00255	876		old_locus_tag=HF965_00255
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	47270	48145	+	WP_006363748.1	WP_006363748.1		hypothetical protein			HF965_RS00255	876	291	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	48150	48431	+							HF965_RS00260	282		old_locus_tag=HF965_00260
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	48150	48431	+	WP_031550987.1	WP_031550987.1		hypothetical protein			HF965_RS00260	282	93	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	48462	49382	+					rnz		HF965_RS00265	921		old_locus_tag=HF965_00265
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	48462	49382	+	WP_031550986.1	WP_031550986.1		ribonuclease Z	rnz		HF965_RS00265	921	306	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	49398	49955	+							HF965_RS00270	558		old_locus_tag=HF965_00270
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	49398	49955	+	WP_031550984.1	WP_031550984.1		NUDIX hydrolase			HF965_RS00270	558	185	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	49959	50405	+							HF965_RS00275	447		old_locus_tag=HF965_00275
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	49959	50405	+	WP_031550982.1	WP_031550982.1		transcriptional repressor			HF965_RS00275	447	148	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	50409	50855	+							HF965_RS00280	447		old_locus_tag=HF965_00280
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	50409	50855	+	WP_006363742.1	WP_006363742.1		hypothetical protein			HF965_RS00280	447	148	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	51176	53530	+							HF965_RS00285	2355		old_locus_tag=HF965_00285
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	51176	53530	+	WP_031550980.1	WP_031550980.1		penicillin acylase family protein			HF965_RS00285	2355	784	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	53720	54397	+							HF965_RS00290	678		old_locus_tag=HF965_00290
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	53720	54397	+	WP_031550979.1	WP_031550979.1		YggS family pyridoxal phosphate-dependent enzyme			HF965_RS00290	678	225	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	54418	55116	+							HF965_RS00295	699		old_locus_tag=HF965_00295
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	54418	55116	+	WP_031550977.1	WP_031550977.1		M48 family metallopeptidase			HF965_RS00295	699	232	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	55327	56595	+					tig		HF965_RS00300	1269		old_locus_tag=HF965_00300
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	55327	56595	+	WP_031550974.1	WP_031550974.1		trigger factor	tig		HF965_RS00300	1269	422	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	56788	58935	-							HF965_RS00305	2148		old_locus_tag=HF965_00305
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	56788	58935	-	WP_031550972.1	WP_031550972.1		penicillin-binding protein			HF965_RS00305	2148	715	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	58938	59516	-					recU		HF965_RS00310	579		old_locus_tag=HF965_00310
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	58938	59516	-	WP_006363735.1	WP_006363735.1		Holliday junction resolvase RecU	recU		HF965_RS00310	579	192	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	59757	61457	+							HF965_RS00315	1701		old_locus_tag=HF965_00315
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	59757	61457	+	WP_031550969.1	WP_031550969.1		proline--tRNA ligase			HF965_RS00315	1701	566	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	61644	65993	+							HF965_RS00320	4350		old_locus_tag=HF965_00320
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	61644	65993	+	WP_031550966.1	WP_031550966.1		PolC-type DNA polymerase III			HF965_RS00320	4350	1449	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	66172	67440	+					murA		HF965_RS00325	1269		old_locus_tag=HF965_00325
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	66172	67440	+	WP_006363732.1	WP_006363732.1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA		HF965_RS00325	1269	422	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	67450	67620	+							HF965_RS00330	171		old_locus_tag=HF965_00330
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	67450	67620	+	WP_006363731.1	WP_006363731.1		DNA-directed RNA polymerase subunit beta			HF965_RS00330	171	56	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	67633	68613	+					pta		HF965_RS00335	981		old_locus_tag=HF965_00335
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	67633	68613	+	WP_031550963.1	WP_031550963.1		phosphate acetyltransferase	pta		HF965_RS00335	981	326	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	68730	69377	+							HF965_RS00340	648		old_locus_tag=HF965_00340
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	68730	69377	+	WP_031550960.1	WP_031550960.1		O-methyltransferase			HF965_RS00340	648	215	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	69392	69868	+							HF965_RS00345	477		old_locus_tag=HF965_00345
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	69392	69868	+	WP_031550958.1	WP_031550958.1		hypothetical protein			HF965_RS00345	477	158	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	69887	70813	+							HF965_RS00350	927		old_locus_tag=HF965_00350
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	69887	70813	+	WP_031550955.1	WP_031550955.1		U32 family peptidase			HF965_RS00350	927	308	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	70890	72161	+							HF965_RS00355	1272		old_locus_tag=HF965_00355
CDS	with_protein	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	70890	72161	+	WP_031550953.1	WP_031550953.1		U32 family peptidase			HF965_RS00355	1272	423	
gene	protein_coding	GCF_012396635.1	Primary Assembly	unplaced scaffold		NZ_JAAXPT010000001.1	72161	72787	+					udk		HF965_RS00360	627		old_locus_tag=HF965_00360
