# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	27636	28562	-	KXB58969.1			inorganic diphosphatase PpaC			HMPREF1871_00036	927	308	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	28587	29075	-							HMPREF1871_00037	489		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	28587	29075	-	KXB58970.1			peptide-methionine (S)-S-oxide reductase			HMPREF1871_00037	489	162	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	29085	29990	-							HMPREF1871_00038	906		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	29085	29990	-	KXB58971.1			YihY family protein			HMPREF1871_00038	906	301	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	29991	30242	-							HMPREF1871_00039	252		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	29991	30242	-	KXB58972.1			hypothetical protein			HMPREF1871_00039	252	83	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	30413	30655	-							HMPREF1871_00040	243		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	30413	30655	-	KXB58973.1			ribosomal protein S20			HMPREF1871_00040	243	80	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	30798	31772	-							HMPREF1871_00041	975		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	30798	31772	-	KXB58974.1			DNA polymerase III, delta subunit			HMPREF1871_00041	975	324	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	31774	33714	-							HMPREF1871_00042	1941		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	31774	33714	-	KXB58975.1			ComEC/Rec2-like protein			HMPREF1871_00042	1941	646	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	33708	34172	-							HMPREF1871_00043	465		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	33708	34172	-	KXB58976.1			ComE operon protein 2			HMPREF1871_00043	465	154	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	34203	34820	-							HMPREF1871_00044	618		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	34203	34820	-	KXB58977.1			comEA protein			HMPREF1871_00044	618	205	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	34959	36080	+							HMPREF1871_00045	1122		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	34959	36080	+	KXB58978.1			aminotransferase, class V			HMPREF1871_00045	1122	373	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	36083	37192	+							HMPREF1871_00046	1110		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	36083	37192	+	KXB58979.1			tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase			HMPREF1871_00046	1110	369	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	37223	38251	-							HMPREF1871_00047	1029		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	37223	38251	-	KXB58980.1			putative glycoprotease GCP			HMPREF1871_00047	1029	342	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	38241	38693	-							HMPREF1871_00048	453		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	38241	38693	-	KXB58981.1			ribosomal-protein-alanine acetyltransferase			HMPREF1871_00048	453	150	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	38677	39339	-							HMPREF1871_00049	663		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	38677	39339	-	KXB58982.1			universal bacterial protein YeaZ			HMPREF1871_00049	663	220	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	39327	39785	-							HMPREF1871_00050	459		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	39327	39785	-	KXB58983.1			hydrolase, P-loop family			HMPREF1871_00050	459	152	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40081	40641	+							HMPREF1871_00051	561		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40081	40641	+	KXB58984.1			putative thermonuclease			HMPREF1871_00051	561	186	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40714	40911	+							HMPREF1871_00052	198		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40714	40911	+	KXB58985.1			hypothetical protein			HMPREF1871_00052	198	65	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40966	41442	+							HMPREF1871_00053	477		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	40966	41442	+	KXB58986.1			mutator MutT protein			HMPREF1871_00053	477	158	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	41455	41841	+							HMPREF1871_00054	387		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	41455	41841	+	KXB58987.1			thioesterase family protein			HMPREF1871_00054	387	128	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	41990	43162	-							HMPREF1871_00055	1173		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	41990	43162	-	KXB58988.1			putative aspartate transaminase			HMPREF1871_00055	1173	390	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	43235	45940	-							HMPREF1871_00056	2706		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	43235	45940	-	KXB58989.1			alanine--tRNA ligase			HMPREF1871_00056	2706	901	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	46138	46509	-							HMPREF1871_00057	372		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	46138	46509	-	KXB58990.1			putative general stress protein 13			HMPREF1871_00057	372	123	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	46521	48497	-							HMPREF1871_00058	1977		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	46521	48497	-	KXB58991.1			transketolase			HMPREF1871_00058	1977	658	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	48532	49128	-							HMPREF1871_00059	597		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	48532	49128	-	KXB58992.1			recombination protein RecR			HMPREF1871_00059	597	198	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	49130	49447	-							HMPREF1871_00060	318		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	49130	49447	-	KXB58993.1			DNA-binding protein, YbaB/EbfC family			HMPREF1871_00060	318	105	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	49520	51169	-							HMPREF1871_00061	1650		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	49520	51169	-	KXB58994.1			DNA polymerase III, subunit gamma and tau			HMPREF1871_00061	1650	549	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	51408	52772	+							HMPREF1871_00062	1365		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	51408	52772	+	KXB58995.1			putative potassium transporter peripheral membrane component			HMPREF1871_00062	1365	454	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	52794	54239	+							HMPREF1871_00063	1446		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	52794	54239	+	KXB58996.1			cation transport protein			HMPREF1871_00063	1446	481	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	54326	56188	-							HMPREF1871_00064	1863		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	54326	56188	-	KXB58997.1			ABC transporter, ATP-binding protein			HMPREF1871_00064	1863	620	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	56357	57823	-							HMPREF1871_00065	1467		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	56357	57823	-	KXB58998.1			lysine-specific permease			HMPREF1871_00065	1467	488	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	58206	59216	-							HMPREF1871_00066	1011		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	58206	59216	-	KXB58999.1			Sua5/YciO/YrdC/YwlC family protein			HMPREF1871_00066	1011	336	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	59230	60021	-							HMPREF1871_00067	792		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	59230	60021	-	KXB59000.1			cobalt transport protein			HMPREF1871_00067	792	263	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	60014	60898	-							HMPREF1871_00068	885		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	60014	60898	-	KXB59001.1			ABC transporter, ATP-binding protein			HMPREF1871_00068	885	294	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	60889	61704	-							HMPREF1871_00069	816		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	60889	61704	-	KXB59002.1			ABC transporter, ATP-binding protein			HMPREF1871_00069	816	271	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	61924	63555	-							HMPREF1871_00070	1632		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	61924	63555	-	KXB59003.1			Na/Pi-cotransporter II-like protein			HMPREF1871_00070	1632	543	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	63942	65240	+							HMPREF1871_00071	1299		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	63942	65240	+	KXB59004.1			putative permease			HMPREF1871_00071	1299	432	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	65463	67643	-							HMPREF1871_00072	2181		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	65463	67643	-	KXB59005.1			anaerobic ribonucleoside-triphosphate reductase			HMPREF1871_00072	2181	726	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	67948	69159	+							HMPREF1871_00073	1212		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	67948	69159	+	KXB59006.1			hypothetical protein			HMPREF1871_00073	1212	403	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	69162	69461	+							HMPREF1871_00074	300		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	69162	69461	+	KXB59007.1			hypothetical protein			HMPREF1871_00074	300	99	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	69467	70198	-							HMPREF1871_00075	732		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	69467	70198	-	KXB59008.1			methyltransferase domain protein			HMPREF1871_00075	732	243	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	70202	70540	-							HMPREF1871_00076	339		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	70202	70540	-	KXB59009.1			iojap-like protein			HMPREF1871_00076	339	112	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	70558	71427	-							HMPREF1871_00077	870		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	70558	71427	-	KXB59010.1			hydrolase, HD family			HMPREF1871_00077	870	289	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	71417	72010	-							HMPREF1871_00078	594		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	71417	72010	-	KXB59011.1			nicotinate-nucleotide adenylyltransferase			HMPREF1871_00078	594	197	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	72010	72309	-							HMPREF1871_00079	300		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	72010	72309	-	KXB59012.1			RNA-binding protein, YhbY family			HMPREF1871_00079	300	99	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	72348	73463	-							HMPREF1871_00080	1116		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	72348	73463	-	KXB59013.1			ribosome biogenesis GTPase YqeH			HMPREF1871_00080	1116	371	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	73460	74026	-							HMPREF1871_00081	567		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	73460	74026	-	KXB59014.1			HAD phosphatase, family IIIA			HMPREF1871_00081	567	188	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	74055	74822	-							HMPREF1871_00082	768		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	74055	74822	-	KXB59015.1			phosphatidylserine decarboxylase			HMPREF1871_00082	768	255	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	74869	77175	-							HMPREF1871_00083	2307		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	74869	77175	-	KXB59016.1			transglycosylase			HMPREF1871_00083	2307	768	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	77213	79261	-							HMPREF1871_00084	2049		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	77213	79261	-	KXB59017.1			penicillin-binding protein, 1A family			HMPREF1871_00084	2049	682	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	79254	79841	-							HMPREF1871_00085	588		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	79254	79841	-	KXB59018.1			recombination protein U			HMPREF1871_00085	588	195	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	79977	81095	+							HMPREF1871_00086	1119		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	79977	81095	+	KXB59019.1			peptide chain release factor 2			HMPREF1871_00086	1119	372	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	81199	81660	-							HMPREF1871_00087	462		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	81199	81660	-	KXB59020.1			rhodanese-like protein			HMPREF1871_00087	462	153	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	81786	82805	-							HMPREF1871_00088	1020		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	81786	82805	-	KXB59021.1			tryptophan--tRNA ligase			HMPREF1871_00088	1020	339	
gene	protein_coding	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	82859	83362	-							HMPREF1871_00089	504		
CDS	with_protein	GCA_001553005.1	Primary Assembly	unplaced scaffold		KQ959854.1	82859	83362	-	KXB59022.1			transcriptional regulator, Rrf2 family			HMPREF1871_00089	504	167	
